📺4K频道,#genre#
江苏卫视4K,http://219.139.231.142:8989/rtp/239.69.2.36:11370
江苏卫视4K,http://219.139.229.55:8989/rtp/239.69.1.24:9784
江苏卫视4K,http://219.139.229.55:8989/rtp/239.69.2.36:11370
欢笑剧场4K,http://27.17.212.8:55555/rtp/239.69.2.5:11184
欢笑剧场4K,http://59.174.118.10:60002/rtp/239.69.2.5:11184
欢笑剧场4K,http://59.173.123.57:4022/rtp/239.69.2.5:11184
欢笑剧场4K,http://219.139.231.142:8989/rtp/239.69.2.5:11184
欢笑剧场4K,http://219.139.229.55:8989/rtp/239.69.2.5:11184

📺高清频道,#genre#
CCTV1HD,http://27.17.212.8:55555/rtp/239.254.96.96:8550
CCTV1HD,http://59.174.118.10:60002/rtp/239.254.96.96:8550
CCTV1HD,http://59.173.123.57:4022/rtp/239.254.96.96:8550
CCTV1HD,http://219.139.231.142:8989/rtp/239.254.96.96:8550
CCTV1HD,http://219.139.229.55:8989/rtp/239.254.96.96:8550
CCTV2HD,http://27.17.212.8:55555/rtp/239.69.1.102:10250
CCTV2HD,http://59.174.118.10:60002/rtp/239.69.1.102:10250
CCTV2HD,http://59.173.123.57:4022/rtp/239.69.1.102:10250
CCTV2HD,http://219.139.231.142:8989/rtp/239.69.1.102:10250
CCTV2HD,http://219.139.229.55:8989/rtp/239.69.1.102:10250
CCTV3HD,http://27.17.212.8:55555/rtp/239.69.1.122:10370
CCTV3HD,http://59.174.118.10:60002/rtp/239.69.1.122:10370
CCTV3HD,http://59.173.123.57:4022/rtp/239.69.1.122:10370
CCTV3HD,http://219.139.231.142:8989/rtp/239.69.1.122:10370
CCTV3HD,http://219.139.229.55:8989/rtp/239.69.1.122:10370
CCTV4HD,http://27.17.212.8:55555/rtp/239.69.1.138:10466
CCTV4HD,http://59.174.118.10:60002/rtp/239.69.1.138:10466
CCTV4HD,http://59.173.123.57:4022/rtp/239.69.1.138:10466
CCTV4HD,http://219.139.231.142:8989/rtp/239.69.1.138:10466
CCTV4HD,http://219.139.229.55:8989/rtp/239.69.1.138:10466
CCTV4欧洲HD,http://27.17.212.8:55555/rtp/239.69.1.231:11028
CCTV4欧洲HD,http://59.174.118.10:60002/rtp/239.69.1.231:11028
CCTV4欧洲HD,http://59.173.123.57:4022/rtp/239.69.1.231:11028
CCTV4欧洲HD,http://219.139.231.142:8989/rtp/239.69.1.231:11028
CCTV4欧洲HD,http://219.139.229.55:8989/rtp/239.69.1.231:11028
CCTV4美洲HD,http://27.17.212.8:55555/rtp/239.69.1.232:11034
CCTV4美洲HD,http://59.174.118.10:60002/rtp/239.69.1.232:11034
CCTV4美洲HD,http://59.173.123.57:4022/rtp/239.69.1.232:11034
CCTV4美洲HD,http://219.139.231.142:8989/rtp/239.69.1.232:11034
CCTV4美洲HD,http://219.139.229.55:8989/rtp/239.69.1.232:11034
CCTV5HD,http://27.17.212.8:55555/rtp/239.69.1.123:10376
CCTV5HD,http://59.174.118.10:60002/rtp/239.69.1.123:10376
CCTV5HD,http://59.173.123.57:4022/rtp/239.69.1.123:10376
CCTV5HD,http://219.139.231.142:8989/rtp/239.69.1.123:10376
CCTV5HD,http://219.139.229.55:8989/rtp/239.69.1.123:10376
CCTV5+HD,http://27.17.212.8:55555/rtp/239.254.96.234:9484
CCTV5+HD,http://59.174.118.10:60002/rtp/239.254.96.234:9484
CCTV5+HD,http://59.173.123.57:4022/rtp/239.254.96.234:9484
CCTV5+HD,http://219.139.231.142:8989/rtp/239.254.96.234:9484
CCTV5+HD,http://219.139.229.55:8989/rtp/239.254.96.234:9484
CCTV6HD,http://27.17.212.8:55555/rtp/239.69.1.124:10382
CCTV6HD,http://59.174.118.10:60002/rtp/239.69.1.124:10382
CCTV6HD,http://59.173.123.57:4022/rtp/239.69.1.124:10382
CCTV6HD,http://219.139.231.142:8989/rtp/239.69.1.124:10382
CCTV6HD,http://219.139.229.55:8989/rtp/239.69.1.124:10382
CCTV7HD,http://27.17.212.8:55555/rtp/239.69.1.103:10256
CCTV7HD,http://59.174.118.10:60002/rtp/239.69.1.103:10256
CCTV7HD,http://59.173.123.57:4022/rtp/239.69.1.103:10256
CCTV7HD,http://219.139.231.142:8989/rtp/239.69.1.103:10256
CCTV7HD,http://219.139.229.55:8989/rtp/239.69.1.103:10256
CCTV8HD,http://27.17.212.8:55555/rtp/239.69.1.125:10388
CCTV8HD,http://59.174.118.10:60002/rtp/239.69.1.125:10388
CCTV8HD,http://59.173.123.57:4022/rtp/239.69.1.125:10388
CCTV8HD,http://219.139.231.142:8989/rtp/239.69.1.125:10388
CCTV8HD,http://219.139.229.55:8989/rtp/239.69.1.125:10388
CCTV9HD,http://27.17.212.8:55555/rtp/239.69.1.104:10262
CCTV9HD,http://59.174.118.10:60002/rtp/239.69.1.104:10262
CCTV9HD,http://59.173.123.57:4022/rtp/239.69.1.104:10262
CCTV9HD,http://219.139.231.142:8989/rtp/239.69.1.104:10262
CCTV9HD,http://219.139.229.55:8989/rtp/239.69.1.104:10262
CCTV10HD,http://27.17.212.8:55555/rtp/239.69.1.105:10268
CCTV10HD,http://59.174.118.10:60002/rtp/239.69.1.105:10268
CCTV10HD,http://59.173.123.57:4022/rtp/239.69.1.105:10268
CCTV10HD,http://219.139.231.142:8989/rtp/239.69.1.105:10268
CCTV10HD,http://219.139.229.55:8989/rtp/239.69.1.105:10268
CCTV11HD,http://27.17.212.8:55555/rtp/239.69.1.154:10560
CCTV11HD,http://59.174.118.10:60002/rtp/239.69.1.154:10560
CCTV11HD,http://59.173.123.57:4022/rtp/239.69.1.154:10560
CCTV11HD,http://219.139.231.142:8989/rtp/239.69.1.154:10560
CCTV11HD,http://219.139.229.55:8989/rtp/239.69.1.154:10560
CCTV12HD,http://27.17.212.8:55555/rtp/239.69.1.106:10274
CCTV12HD,http://59.174.118.10:60002/rtp/239.69.1.106:10274
CCTV12HD,http://59.173.123.57:4022/rtp/239.69.1.106:10274
CCTV12HD,http://219.139.231.142:8989/rtp/239.69.1.106:10274
CCTV12HD,http://219.139.229.55:8989/rtp/239.69.1.106:10274
CCTV13HD,http://27.17.212.8:55555/rtp/239.254.96.161:9040
CCTV13HD,http://59.174.118.10:60002/rtp/239.254.96.161:9040
CCTV13HD,http://59.173.123.57:4022/rtp/239.254.96.161:9040
CCTV13HD,http://219.139.231.142:8989/rtp/239.254.96.161:9040
CCTV13HD,http://219.139.229.55:8989/rtp/239.254.96.161:9040
CCTV14HD,http://27.17.212.8:55555/rtp/239.69.1.107:10280
CCTV14HD,http://59.174.118.10:60002/rtp/239.69.1.107:10280
CCTV14HD,http://59.173.123.57:4022/rtp/239.69.1.107:10280
CCTV14HD,http://219.139.231.142:8989/rtp/239.69.1.107:10280
CCTV14HD,http://219.139.229.55:8989/rtp/239.69.1.107:10280
CCTV15HD,http://27.17.212.8:55555/rtp/239.69.1.155:10566
CCTV15HD,http://59.174.118.10:60002/rtp/239.69.1.155:10566
CCTV15HD,http://59.173.123.57:4022/rtp/239.69.1.155:10566
CCTV15HD,http://219.139.231.142:8989/rtp/239.69.1.155:10566
CCTV15HD,http://219.139.229.55:8989/rtp/239.69.1.155:10566
CCTV16HD,http://27.17.212.8:55555/rtp/239.69.1.247:11124
CCTV16HD,http://59.174.118.10:60002/rtp/239.69.1.247:11124
CCTV16HD,http://59.173.123.57:4022/rtp/239.69.1.247:11124
CCTV16HD,http://219.139.231.142:8989/rtp/239.69.1.247:11124
CCTV16HD,http://219.139.229.55:8989/rtp/239.69.1.247:11124
CCTV17HD,http://27.17.212.8:55555/rtp/239.69.1.152:10548
CCTV17HD,http://59.174.118.10:60002/rtp/239.69.1.152:10548
CCTV17HD,http://59.173.123.57:4022/rtp/239.69.1.152:10548
CCTV17HD,http://219.139.231.142:8989/rtp/239.69.1.152:10548
CCTV17HD,http://219.139.229.55:8989/rtp/239.69.1.152:10548
CETV1HD,http://27.17.212.8:55555/rtp/239.69.1.110:10298
CETV1HD,http://59.174.118.10:60002/rtp/239.69.1.110:10298
CETV1HD,http://59.173.123.57:4022/rtp/239.69.1.110:10298
CETV1HD,http://219.139.231.142:8989/rtp/239.69.1.110:10298
CETV1HD,http://219.139.229.55:8989/rtp/239.69.1.110:10298
CETV4HD,http://27.17.212.8:55555/rtp/239.69.2.29:11328
CETV4HD,http://59.174.118.10:60002/rtp/239.69.2.29:11328
CETV4HD,http://59.173.123.57:4022/rtp/239.69.2.29:11328
CETV4HD,http://219.139.231.142:8989/rtp/239.69.2.29:11328
CETV4HD,http://219.139.229.55:8989/rtp/239.69.2.29:11328
CGTNHD,http://27.17.212.8:55555/rtp/239.254.96.175:9124
CGTNHD,http://59.174.118.10:60002/rtp/239.254.96.175:9124
CGTNHD,http://59.173.123.57:4022/rtp/239.254.96.175:9124
CGTNHD,http://219.139.231.142:8989/rtp/239.254.96.175:9124
CGTNHD,http://219.139.229.55:8989/rtp/239.254.96.175:9124
CGTN纪录HD,http://27.17.212.8:55555/rtp/239.69.1.233:11040
CGTN纪录HD,http://59.174.118.10:60002/rtp/239.69.1.233:11040
CGTN纪录HD,http://59.173.123.57:4022/rtp/239.69.1.233:11040
CGTN纪录HD,http://219.139.231.142:8989/rtp/239.69.1.233:11040
CGTN纪录HD,http://219.139.229.55:8989/rtp/239.69.1.233:11040
CGTN阿语HD,http://27.17.212.8:55555/rtp/239.69.1.221:10968
CGTN阿语HD,http://59.174.118.10:60002/rtp/239.69.1.221:10968
CGTN阿语HD,http://59.173.123.57:4022/rtp/239.69.1.221:10968
CGTN阿语HD,http://219.139.231.142:8989/rtp/239.69.1.221:10968
CGTN阿语HD,http://219.139.229.55:8989/rtp/239.69.1.221:10968
CGTN俄语HD,http://27.17.212.8:55555/rtp/239.69.1.222:10974
CGTN俄语HD,http://59.174.118.10:60002/rtp/239.69.1.222:10974
CGTN俄语HD,http://59.173.123.57:4022/rtp/239.69.1.222:10974
CGTN俄语HD,http://219.139.231.142:8989/rtp/239.69.1.222:10974
CGTN俄语HD,http://219.139.229.55:8989/rtp/239.69.1.222:10974
CGTN西语HD,http://27.17.212.8:55555/rtp/239.69.1.234:11046
CGTN西语HD,http://59.174.118.10:60002/rtp/239.69.1.234:11046
CGTN西语HD,http://59.173.123.57:4022/rtp/239.69.1.234:11046
CGTN西语HD,http://219.139.231.142:8989/rtp/239.69.1.234:11046
CGTN西语HD,http://219.139.229.55:8989/rtp/239.69.1.234:11046
CGTN法语HD,http://27.17.212.8:55555/rtp/239.69.1.235:11052
CGTN法语HD,http://59.174.118.10:60002/rtp/239.69.1.235:11052
CGTN法语HD,http://59.173.123.57:4022/rtp/239.69.1.235:11052
CGTN法语HD,http://219.139.231.142:8989/rtp/239.69.1.235:11052
CGTN法语HD,http://219.139.229.55:8989/rtp/239.69.1.235:11052
